DATAFLOW,VARIABLE: Variable,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_VARIABLE_2: Note Variable 2,NOTE_VARIABLE_1: Note Variable 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1996,19,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1997,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1998,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1999,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2000,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2001,25,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2002,20,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2003,41,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2004,29,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2005,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2006,33,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2007,26,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2008,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2009,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2010,35,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2011,39,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2012,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2013,25,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2014,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2015,28,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2016,35,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2017,29,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2018,29,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2019,34,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2020,27,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2021,33,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,2022,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1987,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1988,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1989,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1990,8,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1991,20,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1992,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1993,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1994,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1995,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1996,3,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1997,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1998,10,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,1999,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2000,14,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2001,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2002,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2003,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2004,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2005,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2006,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2007,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2008,10,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2009,14,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2010,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2011,19,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2012,23,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2013,28,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2014,21,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2015,37,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2016,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2017,17,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2018,29,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2019,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2020,23,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2021,22,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM02002: Bourscheid,A: Annual,2022,20,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1987,6,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1988,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1989,6,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1990,7,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1991,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1992,8,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1993,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1994,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1995,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1996,7,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1997,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1998,7,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,1999,6,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2000,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2001,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2002,5,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2003,5,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2004,6,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2005,12,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2006,9,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2007,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2008,11,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2009,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2010,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2011,10,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2012,16,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2013,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2014,13,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2015,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2016,17,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2017,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2018,19,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2019,15,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2020,18,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2021,17,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM03009: Vichten,A: Annual,2022,23,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1987,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1988,20,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1989,21,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1990,24,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1991,26,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1992,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1993,46,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1994,27,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1995,37,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1996,27,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1997,34,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1998,28,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,1999,41,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2000,33,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2001,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2002,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2003,25,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2004,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2005,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2006,33,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2007,24,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2008,34,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2009,27,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2010,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2011,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2012,37,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2013,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2014,37,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2015,37,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2016,30,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2017,40,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM06006: Rosport - Mompach,A: Annual,2018,36,,,,,,,,0: Zero
